Ic (@Vce=2V) = {0.1092mA, 0.2263mA, 0.4563mA, 
0.8844mA, 1.613mA, 2.723mA, 4.235mA, 6.086mA, 
8.004mA, 9.785mA, 11.56mA, 13.35mA, 15.18mA}

H21 vs. freq
Point prm/cv          freq1       H21_dB.m
  227  27/ 4  2.800000E+010  1.900842E+000
  228  28/ 4  2.900000E+010  1.626940E+000
  229  29/ 4  3.000000E+010  1.344173E+000
  230  30/ 4  3.100000E+010  1.079621E+000
  231  31/ 4  3.200000E+010  8.316460E-001
  232  32/ 4  3.300000E+010  5.745669E-001
  233  33/ 4  3.400000E+010  3.200400E-001
  234  34/ 4  3.500000E+010  9.615897E-002
  235  35/ 4  3.600000E+010 -1.129915E-001
  236  36/ 4  3.700000E+010 -3.418256E-001
  237  37/ 4  3.800000E+010 -5.349602E-001
  238  38/ 4  3.900000E+010 -7.525200E-001
  239  39/ 4  4.000000E+010 -9.357823E-001
  240  40/ 4  4.100000E+010 -1.151200E+000
  241  41/ 4  4.200000E+010 -1.355742E+000
  242  42/ 4  4.300000E+010 -1.518269E+000
  243  43/ 4  4.400000E+010 -1.702229E+000
  244  44/ 4  4.500000E+010 -1.864139E+000
  245  45/ 4  4.600000E+010 -2.048476E+000
  246  46/ 4  4.700000E+010 -2.192617E+000
  247  47/ 4  4.800000E+010 -2.353689E+000
  248  48/ 4  4.900000E+010 -2.553713E+000
  249  49/ 4  5.000000E+010 -2.614581E+000
  250   0/ 5  1.000000E+009  3.066831E+001
  251   1/ 5  2.000000E+009  2.531272E+001
  252   2/ 5  3.000000E+009  2.199912E+001
  253   3/ 5  4.000000E+009  1.948765E+001
  254   4/ 5  5.000000E+009  1.753175E+001
  255   5/ 5  6.000000E+009  1.599554E+001
  256   6/ 5  7.000000E+009  1.458120E+001
  257   7/ 5  8.000000E+009  1.352345E+001
  258   8/ 5  9.000000E+009  1.250147E+001
  259   9/ 5  1.000000E+010  1.163065E+001
  260  10/ 5  1.100000E+010  1.082446E+001
  261  11/ 5  1.200000E+010  1.010127E+001
  262  12/ 5  1.300000E+010  9.453290E+000
  263  13/ 5  1.400000E+010  8.821826E+000
  264  14/ 5  1.500000E+010  8.238185E+000
  265  15/ 5  1.600000E+010  7.692602E+000
  266  16/ 5  1.700000E+010  7.188375E+000
  267  17/ 5  1.800000E+010  6.697388E+000
  268  18/ 5  1.900000E+010  6.227666E+000
  269  19/ 5  2.000000E+010  5.794598E+000
  270  20/ 5  2.100000E+010  5.387265E+000
  271  21/ 5  2.200000E+010  4.998695E+000
  272  22/ 5  2.300000E+010  4.615668E+000
  273  23/ 5  2.400000E+010  4.246381E+000
  274  24/ 5  2.500000E+010  3.912777E+000
  275  25/ 5  2.600000E+010  3.570331E+000
  276  26/ 5  2.700000E+010  3.247096E+000
  277  27/ 5  2.800000E+010  2.963007E+000
  278  28/ 5  2.900000E+010  2.684534E+000
  279  29/ 5  3.000000E+010  2.405081E+000
  280  30/ 5  3.100000E+010  2.136539E+000
  281  31/ 5  3.200000E+010  1.893169E+000
  282  32/ 5  3.300000E+010  1.642432E+000
  283  33/ 5  3.400000E+010  1.380111E+000
  284  34/ 5  3.500000E+010  1.151602E+000
  285  35/ 5  3.600000E+010  9.357860E-001
  286  36/ 5  3.700000E+010  7.037470E-001
  287  37/ 5  3.800000E+010  4.952672E-001
  288  38/ 5  3.900000E+010  2.655481E-001
  289  39/ 5  4.000000E+010  8.294420E-002
  290  40/ 5  4.100000E+010 -1.198632E-001
  291  41/ 5  4.200000E+010 -3.329773E-001
  292  42/ 5  4.300000E+010 -4.945511E-001
  293  43/ 5  4.400000E+010 -6.890615E-001
  294  44/ 5  4.500000E+010 -8.671512E-001
  295  45/ 5  4.600000E+010 -1.042575E+000
  296  46/ 5  4.700000E+010 -1.198069E+000
  297  47/ 5  4.800000E+010 -1.354018E+000
  298  48/ 5  4.900000E+010 -1.577937E+000
  299  49/ 5  5.000000E+010 -1.685998E+000
  300   0/ 6  1.000000E+009  3.010232E+001
  301   1/ 6  2.000000E+009  2.511450E+001
  302   2/ 6  3.000000E+009  2.207423E+001
  303   3/ 6  4.000000E+009  1.946229E+001
  304   4/ 6  5.000000E+009  1.743857E+001
  305   5/ 6  6.000000E+009  1.600238E+001
  306   6/ 6  7.000000E+009  1.445550E+001
  307   7/ 6  8.000000E+009  1.354352E+001
  308   8/ 6  9.000000E+009  1.251757E+001
  309   9/ 6  1.000000E+010  1.170720E+001
  310  10/ 6  1.100000E+010  1.091956E+001
  311  11/ 6  1.200000E+010  1.024058E+001
  312  12/ 6  1.300000E+010  9.645168E+000
  313  13/ 6  1.400000E+010  9.024713E+000
  314  14/ 6  1.500000E+010  8.451941E+000
  315  15/ 6  1.600000E+010  7.918905E+000
  316  16/ 6  1.700000E+010  7.436784E+000
  317  17/ 6  1.800000E+010  6.947670E+000
  318  18/ 6  1.900000E+010  6.466077E+000
  319  19/ 6  2.000000E+010  6.023681E+000
  320  20/ 6  2.100000E+010  5.619453E+000
  321  21/ 6  2.200000E+010  5.224072E+000
  322  22/ 6  2.300000E+010  4.824720E+000
  323  23/ 6  2.400000E+010  4.437782E+000
  324  24/ 6  2.500000E+010  4.102226E+000
  325  25/ 6  2.600000E+010  3.750170E+000
  326  26/ 6  2.700000E+010  3.392380E+000
  327  27/ 6  2.800000E+010  3.121002E+000
  328  28/ 6  2.900000E+010  2.851294E+000
  329  29/ 6  3.000000E+010  2.584801E+000
  330  30/ 6  3.100000E+010  2.319850E+000
  331  31/ 6  3.200000E+010  2.093083E+000
  332  32/ 6  3.300000E+010  1.863227E+000
  333  33/ 6  3.400000E+010  1.603264E+000
  334  34/ 6  3.500000E+010  1.373621E+000
  335  35/ 6  3.600000E+010  1.162719E+000
  336  36/ 6  3.700000E+010  9.303898E-001
  337  37/ 6  3.800000E+010  7.207287E-001
  338  38/ 6  3.900000E+010  4.855208E-001
  339  39/ 6  4.000000E+010  2.966083E-001
  340  40/ 6  4.100000E+010  9.847182E-002
  341  41/ 6  4.200000E+010 -1.120846E-001
  342  42/ 6  4.300000E+010 -3.324526E-001
  343  43/ 6  4.400000E+010 -5.229204E-001
  344  44/ 6  4.500000E+010 -7.041215E-001
  345  45/ 6  4.600000E+010 -8.890699E-001
  346  46/ 6  4.700000E+010 -1.034281E+000
  347  47/ 6  4.800000E+010 -1.220642E+000
  348  48/ 6  4.900000E+010 -1.421455E+000
  349  49/ 6  5.000000E+010 -1.521258E+000
  350   0/ 7  1.000000E+009  2.683855E+001
  351   1/ 7  2.000000E+009  2.217549E+001
  352   2/ 7  3.000000E+009  1.945292E+001
  353   3/ 7  4.000000E+009  1.687320E+001
  354   4/ 7  5.000000E+009  1.488989E+001
  355   5/ 7  6.000000E+009  1.353729E+001
  356   6/ 7  7.000000E+009  1.198831E+001
  357   7/ 7  8.000000E+009  1.114190E+001
  358   8/ 7  9.000000E+009  1.014328E+001
  359   9/ 7  1.000000E+010  9.369713E+000
  360  10/ 7  1.100000E+010  8.618841E+000
  361  11/ 7  1.200000E+010  7.992053E+000
  362  12/ 7  1.300000E+010  7.475047E+000
  363  13/ 7  1.400000E+010  6.892538E+000
  364  14/ 7  1.500000E+010  6.349870E+000
  365  15/ 7  1.600000E+010  5.862138E+000
  366  16/ 7  1.700000E+010  5.439392E+000
  367  17/ 7  1.800000E+010  4.971146E+000
  368  18/ 7  1.900000E+010  4.471345E+000
  369  19/ 7  2.000000E+010  4.027614E+000
  370  20/ 7  2.100000E+010  3.653637E+000
  371  21/ 7  2.200000E+010  3.252581E+000
  372  22/ 7  2.300000E+010  2.822640E+000
  373  23/ 7  2.400000E+010  2.408430E+000
  374  24/ 7  2.500000E+010  2.085943E+000
  375  25/ 7  2.600000E+010  1.714965E+000
  376  26/ 7  2.700000E+010  1.303119E+000
  377  27/ 7  2.800000E+010  1.075391E+000
  378  28/ 7  2.900000E+010  8.337683E-001
  379  29/ 7  3.000000E+010  6.146256E-001
  380  30/ 7  3.100000E+010  3.791982E-001
  381  31/ 7  3.200000E+010  2.234961E-001
  382  32/ 7  3.300000E+010  6.686890E-002
