Ic (@Vce=1.2V) = {0.4654mA, 0.8008mA, 1.321mA, 2.148mA, 3.590mA
6.306mA, 11.11mA, 18.39mA, 27.58mA, 37.33mA, 44.82mA, 50.65mA
56.15mA, 61.37mA}

H21 vs. freq

Point prm/cv                     freq                 H21_dB.m
  266  78/ 2  7.9000000000000000E+010 -1.0410452462355959E+000
  267  79/ 2  8.0000000000000000E+010 -1.6080377011780009E+000
  268  80/ 2  8.1000000000000000E+010 -2.3203613890646322E+000
  269  81/ 2  8.2000000000000000E+010 -8.6611458986756551E-001
  270  82/ 2  8.3000000000000000E+010 -1.3587124237166179E+000
  271  83/ 2  8.4000000000000000E+010 -1.6744906667670290E+000
  272  84/ 2  8.5000000000000000E+010 -1.4242450305174661E+000
  273  85/ 2  8.6000000000000000E+010 -1.4629084340995160E+000
  274  86/ 2  8.7000000000000000E+010 -1.4783377202409120E+000
  275  87/ 2  8.8000000000000000E+010 -1.6650952014585261E+000
  276  88/ 2  8.9000000000000000E+010 -1.7052717201464269E+000
  277  89/ 2  9.0000000000000000E+010 -1.4010400190668411E+000
  278  90/ 2  9.1000000000000000E+010 -1.7646846785771491E+000
  279  91/ 2  9.2000000000000000E+010 -1.7319133746571560E+000
  280  92/ 2  9.3000000000000000E+010 -2.1703581203330491E+000
  281  93/ 2  9.4000000000000000E+010 -2.3434135039683142E+000
  282   0/ 3  1.0000000000000000E+009  3.9130994557825233E+001
  283   1/ 3  2.0000000000000000E+009  3.3116476266977273E+001
  284   2/ 3  3.0000000000000000E+009  2.9496400507612311E+001
  285   3/ 3  4.0000000000000000E+009  2.6926938645804970E+001
  286   4/ 3  5.0000000000000000E+009  2.4895185876367169E+001
  287   5/ 3  6.0000000000000000E+009  2.3315569355647479E+001
  288   6/ 3  7.0000000000000000E+009  2.1971096382112211E+001
  289   7/ 3  8.0000000000000000E+009  2.0778156402959080E+001
  290   8/ 3  9.0000000000000000E+009  1.9881022823064800E+001
  291   9/ 3  1.0000000000000000E+010  1.8785340907537371E+001
  292  10/ 3  1.1000000000000000E+010  1.7985674766677331E+001
  293  11/ 3  1.2000000000000000E+010  1.7303213327235628E+001
  294  12/ 3  1.3000000000000000E+010  1.6552853290250670E+001
  295  13/ 3  1.4000000000000000E+010  1.5889450969872801E+001
  296  14/ 3  1.5000000000000000E+010  1.5290594956015051E+001
  297  15/ 3  1.6000000000000000E+010  1.4495758499440790E+001
  298  16/ 3  1.7000000000000000E+010  1.4240114187575880E+001
  299  17/ 3  1.8000000000000000E+010  1.3632121486802429E+001
  300  18/ 3  1.9000000000000000E+010  1.3312304262394390E+001
  301  19/ 3  2.0000000000000000E+010  1.2679525961101611E+001
  302  20/ 3  2.1000000000000000E+010  1.2411634064304231E+001
  303  21/ 3  2.2000000000000000E+010  1.2038808815674710E+001
  304  22/ 3  2.3000000000000000E+010  1.1568460264590490E+001
  305  23/ 3  2.4000000000000000E+010  1.1347963730471680E+001
  306  24/ 3  2.5000000000000000E+010  1.0949272992238059E+001
  307  25/ 3  2.6000000000000000E+010  1.0515332386074480E+001
  308  26/ 3  2.7000000000000000E+010  1.0259921947896361E+001
  309  27/ 3  2.8000000000000000E+010  9.9589554364625918E+000
  310  28/ 3  2.9000000000000000E+010  9.6335944151843851E+000
  311  29/ 3  3.0000000000000000E+010  9.3263277612665867E+000
  312  30/ 3  3.1000000000000000E+010  9.0296079301889680E+000
  313  31/ 3  3.2000000000000000E+010  8.9904421638133307E+000
  314  32/ 3  3.3000000000000000E+010  8.6237979051289049E+000
  315  33/ 3  3.4000000000000000E+010  8.2343709416966924E+000
