Ic (@Vce=1.5V) = {0.170mA, 0.3653mA, 0.7346mA, 1.391mA, 2.528mA, 
4.373mA, 7.044mA, 10.49mA, 14.56mA, 19.11mA, 23.72mA, 27.26mA,
30.26mA, 33.18mA}

H21 vs. freq
Point prm/cv                      freq                  H21_dB.m
  126  32/ 1  3.30000000000000000E+010 -2.44073553353186410E+000
  127  33/ 1  3.40000000000000000E+010 -2.64074178719494720E+000
  128  34/ 1  3.50000000000000000E+010 -2.92984547163027730E+000
  129  35/ 1  3.60000000000000000E+010 -3.02652685173104170E+000
  130  36/ 1  3.70000000000000000E+010 -3.32095037871720190E+000
  131  37/ 1  3.80000000000000000E+010 -3.53564291584081940E+000
  132  38/ 1  3.90000000000000000E+010 -3.80647967762604500E+000
  133  39/ 1  4.00000000000000000E+010 -3.44703745105097600E+000
  134  40/ 1  4.10000000000000000E+010 -3.64321374617104960E+000
  135  41/ 1  4.20000000000000000E+010 -3.49984251382730300E+000
  136  42/ 1  4.30000000000000000E+010 -3.66369957401808310E+000
  137  43/ 1  4.40000000000000000E+010 -4.52945918511927470E+000
  138  44/ 1  4.50000000000000000E+010 -4.46726458318889020E+000
  139  45/ 1  4.60000000000000000E+010 -5.67963495115037720E+000
  140  46/ 1  4.70000000000000000E+010 -1.01184618082518250E+001
  141  47/ 1  4.80000000000000000E+010 -9.39403358285616540E+000
  142  48/ 1  4.90000000000000000E+010 -9.50825648131635150E+000
  143  49/ 1  5.00000000000000000E+010 -5.64600361760369740E+000
  144  50/ 1  5.10000000000000000E+010 -6.36812614951558050E+000
  145  51/ 1  5.20000000000000000E+010 -6.53546115062444240E+000
  146  52/ 1  5.30000000000000000E+010 -4.97434244133851510E+000
  147  53/ 1  5.40000000000000000E+010 -5.29911505922575540E+000
  148  54/ 1  5.50000000000000000E+010 -5.24719581295590840E+000
  149  55/ 1  5.60000000000000000E+010 -7.47069392771979320E+000
  150  56/ 1  5.70000000000000000E+010 -4.49516994437956100E+000
  151  57/ 1  5.80000000000000000E+010 -4.88911889591907030E+000
  152  58/ 1  5.90000000000000000E+010 -4.54979605170727460E+000
  153  59/ 1  6.00000000000000000E+010 -5.01025825133949980E+000
  154  60/ 1  6.10000000000000000E+010 -4.42461942661857500E+000
  155  61/ 1  6.20000000000000000E+010 -4.61210695533961260E+000
